0.000302,0.000235
0.000223,0.000174
0.000161,0.000125
0.000134,0.000105
0.000113,0.000090
0.000096,0.000079
0.000086,0.000072
0.000080,0.000067
0.000078,0.000062
0.000077,0.000061
0.000079,0.000062
0.000083,0.000067
0.000093,0.000074
0.000113,0.000082
0.000148,0.000091
0.000199,0.000101
0.000276,0.000116
0.000365,0.000135
0.000451,0.000155
0.000513,0.000174
0.000545,0.000189
0.000550,0.000201
0.000539,0.000209
0.000526,0.000215
0.000519,0.000219
0.000523,0.000222
0.000532,0.000224
0.000546,0.000226
0.000563,0.000228
0.000584,0.000234
0.000611,0.000243
0.000647,0.000260
0.000692,0.000281
0.000745,0.000305
0.000805,0.000328
0.000874,0.000353
0.000952,0.000378
0.001043,0.000406
0.001146,0.000437
0.001265,0.000474
0.001400,0.000514
0.001546,0.000557
0.001702,0.000603
0.001861,0.000651
0.002016,0.000701
0.002169,0.000755
0.002324,0.000814
0.002488,0.000881
0.002665,0.000959
0.002856,0.001049
0.003058,0.001152
0.003272,0.001269
0.003497,0.001392
0.003739,0.001520
0.003998,0.001650
0.004279,0.001783
0.004580,0.001928
0.004900,0.002091
0.005237,0.002283
0.005605,0.002506
0.006007,0.002758
0.006427,0.003039
0.006879,0.003343
0.007357,0.003672
0.007865,0.004031
0.008425,0.004424
0.009058,0.004855
0.009781,0.005319
0.010584,0.005825
0.011460,0.006364
0.012394,0.006935
0.013381,0.007549
0.014425,0.008212
0.015538,0.008933
0.016720,0.009716
0.017981,0.010574
0.019320,0.011513
0.020755,0.012535
0.022294,0.013659
0.023951,0.014895
0.025731,0.016264
0.027642,0.017794
0.029688,0.019511
0.031883,0.021453
0.034237,0.023657
0.036770,0.026174
0.039579,0.028650
0.042597,0.031354
0.045840,0.034310
0.049322,0.037538
0.053061,0.041062
0.057073,0.044908
0.061377,0.049104
0.065994,0.053680
0.070942,0.058667
0.076244,0.064100
0.081923,0.070015
0.088002,0.076450
0.094505,0.083446
0.101457,0.091047
0.108886,0.099296
0.116818,0.108242
0.125281,0.117933
0.134303,0.128419
0.143912,0.139752
0.154137,0.151982
0.165006,0.165162
0.176547,0.179342
0.188788,0.194571
0.201752,0.210893
1.000000,1.000000
